problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/pick_cool_then_place_in_recep-Cup-None-Shelf-1/trial_T20190907_181520_113143,put a chilled glass on the second to the lowest shelf in the corner of the kitchen.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CupType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject cup)
(GotoLocation fridge)
(CoolObject cup)
(GotoLocation shelf)
(PutObject cup shelf)","(GotoLocation sinkbasin)
(PickupObject cup)
(CleanObject cup)
(GotoLocation cupboard)
(PutObject cup cupboard)"
train/pick_cool_then_place_in_recep-PotatoSliced-None-DiningTable-24/trial_T20190908_194409_961394,put the chilled slice potato on the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject butterknife)
(GotoLocation potato)
(SliceObject potato)
(PutObject butterknife diningtable)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation diningtable)
(PutObject potato diningtable)","(GotoLocation freezer)
(PickupObject potato)
(ChillObject potato)
(GotoLocation diningtable)
(PutObject potato diningtable)"
train/pick_heat_then_place_in_recep-Mug-None-SideTable-3/trial_T20190908_231853_151753,place a hot cup of coffee near the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation microwave)
(HeatObject mug)
(GotoLocation sidetable)
(PutObject mug sidetable)","(GotoLocation coffeemaker)
(PrepareItem coffee)
(PickupItem coffee)
(MoveItem coffee microwave)
(PutItem coffee near_microwave)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-DiningTable-27/trial_T20190908_101505_620069,to heat a slice of potato and place it on the white table by the lettuce.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject butterknife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation microwave)
(PutObject butterknife microwave)
(GotoLocation sinkbasin)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation diningtable)
(PutObject potato diningtable)","(GotoLocation lettuce)
(GetTools tongs)
(GotoLocation potato)
(PickupObject rawpotato slice)
(GotoLocation microwave)
(PutObject rawpotato slice microwave)
(HeatFood rawpotato slice)
(GotoLocation lettuce)
(PutObject cookedpotato slice lettuce)"
train/pick_cool_then_place_in_recep-Cup-None-Cabinet-26/trial_T20190909_085908_816209,put a chilled cup away in the cabinet above the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CupType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject cup)
(GotoLocation fridge)
(CoolObject cup)
(GotoLocation cabinet)
(PutObject cup cabinet)","(GotoLocation microwave)
(GotoLocation cabinet)
(PickupObject cup)
(PutObject cup cabinet)"
train/pick_cool_then_place_in_recep-LettuceSliced-None-SinkBasin-13/trial_T20190908_101527_364763,place sliced lettuce in to the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation lettuce)
(SliceObject lettuce)
(GotoLocation sinkbasin)
(PutObject butterknife sinkbasin)
(GotoLocation countertop)
(PickupObject lettuce)
(GotoLocation fridge)
(CoolObject lettuce)
(GotoLocation sinkbasin)
(PutObject lettuce sinkbasin)","(GotoLocation lettuce)
(PickupObject lettuce)
(SliceObject lettuce)
(GotoLocation sink)
(PutObject slicedlettuce sink)"
train/pick_cool_then_place_in_recep-Egg-None-Microwave-18/trial_T20190909_113607_998821,put chilled egg inside microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject egg)
(GotoLocation fridge)
(CoolObject egg)
(GotoLocation microwave)
(PutObject egg microwave)","(GotoLocation fridge)
(PickupObject egg)
(GotoLocation microwave)
(PutObject egg microwave)
(GotoLocation sinkbasin)"
train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-17/trial_T20190906_210118_740854,put a microwaved slice of bread in the oven.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject bread)
(GotoLocation countertop)
(PutObject bread countertop)
(PickupObject butterknife)
(SliceObject bread)
(PutObject butterknife countertop)
(PickupObject bread)
(GotoLocation microwave)
(HeatObject bread)
(GotoLocation garbagecan)
(PutObject bread garbagecan)","(PickupObject bread)
(PutObject bread microwave)
(HeatObject bread microwave)
(RemoveObject bread microwave)
(PutObject bread oven)"
train/look_at_obj_in_light-Box-None-FloorLamp-205/trial_T20190906_211925_059562,examine a cardboard box better by turning off the light from a floor lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o BoxType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation diningtable)
(PickupObject box)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation bedroom)
(PickupObject floorlamp)
(GotoLocation livingroom)
(GotoLocation vcr)
(SwitchOff vcr cabletv)
(SwitchOff floorlamp fusebox)
(SwitchOn floorlamp fusebox)
(GotoLocation countertop)
(CleanObject tweezers)
(PutObject tweezers trashcan)"
train/look_at_obj_in_light-Vase-None-FloorLamp-221/trial_T20190906_224945_676475,view a vase by the light of a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o VaseType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation diningtable)
(PickupObject vase)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation lamp)
(ActivateObject lamp)
(GotoLocation curtain)
(GotoLocation vase)
(ObserveObject vase)"
train/pick_and_place_simple-TomatoSliced-None-Fridge-6/trial_T20190907_233305_019895,get the knife from the counter then open and close the fridge door.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation tomato)
(SliceObject tomato)","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation fridge)
(OpenObject fridge)
(CloseObject fridge)"
train/pick_cool_then_place_in_recep-Plate-None-Cabinet-22/trial_T20190907_200807_715947,put a plate on bottom shelf in a cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PlateType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation sinkbasin)
(PickupObject plate)
(GotoLocation fridge)
(CoolObject plate)
(GotoLocation cabinet)
(PutObject plate cabinet)","(GotoLocation cabinet)
(PickupObject plate)
(GotoLocation table)
(LowerTray cabinet tray0)
(MoveTray cabinet 0)
(PutObject plate tray table)
(MoveTray cabinet 1)
(RaiseTray cabinet tray)
(GotoLocation cabinet)"
train/pick_heat_then_place_in_recep-Egg-None-DiningTable-11/trial_T20190907_125404_996063,place a cooked egg on a table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject egg)
(GotoLocation microwave)
(HeatObject egg)
(GotoLocation diningtable)
(PutObject egg diningtable)","(GotoLocation garbagecan)
(PickupObject egg)
(CookObject egg)
(GotoLocation table)
(PutObject egg table)"
train/look_at_obj_in_light-AlarmClock-None-DeskLamp-304/trial_T20190907_170557_255365,examine a clock by the light of a desk lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o AlarmClockType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation desk)
(PickupObject alarmclock)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation armchair)
(ExamObject clock)"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233941_496641,use a large metal knife to slice up a tomato on the counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(SliceObject tomato)","(GotoLocation countertop)
(PickupObject knifelarge)
(GotoLocation cupboard)
(OpenObject cupboard)
(GotoLocation countertop)
(SliceObject tomato knifelarge)"
train/look_at_obj_in_light-Pillow-None-FloorLamp-221/trial_T20190907_103032_102765,examine a purple pillow in the light of a tall lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o PillowType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation sofa)
(PickupObject pillow)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation livingroom)
(getObjsatLocation purple pillow couch)
(GotoLocation sidetable)
(getObjsatLocation tall lamp sidetable)
(ExamineObject pillow)"
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-202/trial_T20190909_014548_223224,examine a remote control by the light of a tall lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o RemoteControlType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation remotecontrol)
(PickupObject remotecontrol)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation chair)
(PickupObject remotecontrol)
(GotoLocation lamp)
(PutObject remotecontrol lamp)"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220147_111155,use the knife to cut the lettuce on the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject butterknife)
(GotoLocation lettuce)
(SliceObject lettuce)","(GotoLocation drawer)
(PickupObject knife)
(GotoLocation diningtable)
(PutObject knife diningtable)"
train/pick_heat_then_place_in_recep-Apple-None-Fridge-22/trial_T20190908_210352_288346,put a microwaved apple in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation fridge)
(PickupObject apple)
(GotoLocation sinkbasin)
(ThawObject apple)
(GotoLocation fridge)
(PutObject apple fridge)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-SinkBasin-19/trial_T20190913_161546_241277,"slice a potato to heat the slice , place potato in sink.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation sinkbasin)
(PutObject butterknife sinkbasin)
(GotoLocation countertop)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)","(GotoLocation countertop)
(PickupObject potato)
(SliceObject potato)
(PutObject potato sinkbasin)"
train/look_at_obj_in_light-AlarmClock-None-DeskLamp-305/trial_T20190908_082723_323728,examine a clock under the lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o AlarmClockType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation shelf)
(PickupObject alarmclock)
(GotoLocation desklamp)
(ToggleObject desklamp)",(LookAtObject lamp clock)
train/pick_cool_then_place_in_recep-Bowl-None-DiningTable-4/trial_T20190908_031115_333928,refrigerate a bowl and fork.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BowlType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject bowl)
(GotoLocation fridge)
(CoolObject bowl)
(GotoLocation diningtable)
(PutObject bowl diningtable)","(GotoLocation fridge)
(PickupObject bowl)
(PutObject bowl fridge)
(PickupObject fork)
(PutObject fork fridge)"
train/pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-14/trial_T20190907_012116_449794,place a microwaved mug in a coffee maker.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CoffeeMachineType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation coffeemachine)
(PickupObject mug)
(GotoLocation microwave)
(HeatObject mug)
(GotoLocation coffeemachine)
(PutObject mug coffeemachine)","(PlaceObject mug coffee)
(TurnOn machine microwave)
(TurnOff machine microwave)
(PickupObject mug)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-SinkBasin-14/trial_T20190908_123539_426345,put cooked potato slice in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)
(PutObject knife sinkbasin)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)","(GotoLocation stove)
(PickupObject potato)
(GotoLocation sink)
(CookObject potato)
(GotoLocation sink)
(PutObject potato sink)"
train/pick_and_place_simple-TomatoSliced-None-SideTable-28/trial_T20190908_213552_035696,slice the tomato on the black stand.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject butterknife)
(GotoLocation tomato)
(SliceObject tomato)",(CutObject tomato stand)
train/pick_cool_then_place_in_recep-PotatoSliced-None-CounterTop-22/trial_T20190909_040642_077525,cool a potato slice in the refrigerator.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation fridge)
(PutObject butterknife fridge)
(GotoLocation countertop)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation countertop)
(PutObject potato countertop)","(GotoLocation potato1)
(PickupObject potato1)
(GotoLocation sinkbasin)
(CutObject potato1 in half)
(GotoLocation refrigerator)
(Open refrigerator)
(PutObject potato1Half1 refrigerator)
(Close refrigerator)
(GotoLocation potato1Half1)
(PickupObject potato1Half1)
(Close refrigerator)
(GotoLocation sinkbasin)
(PlaceObject potato1Half1 sinkBasin)
(CoolObject potato1Half1)
(GotoLocation sinkbasin)
(PickupObject potato1Half1)
(GotoLocation refrigerator)
(Open refrigerator)
(PutObject potato1Half1 refrigerator)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-CounterTop-8/trial_T20190910_080205_480727,slice a potato and heat up a slice.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation countertop)
(PutObject knife countertop)
(GotoLocation countertop)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation countertop)
(PutObject potato countertop)","(GotoLocation countertop)
(PickupObject knife)
(Get knife knife-tray countertopsink)
(GotoLocation countertop)
(PickupObject butterknife)
(Get butterknife knife-tray countertopsink)
(GotoLocation countertop)
(PickupObject potato1)
(CutFoodknife knife potato1)
(GotoLocation countertop)
(PickupObject potato2)
(CutFoodbutterknife butterknife potato2)
(GotoLocation cabinet)
(PickupObject toasteroven)
(GotoLocation countertop)
(PutFood oven potato2)
(GotoLocation countertop)
(PickupObject potato)
(CutFoodbutterknife butterknife potato)
(GotoLocation cabinet)
(PickupObject toasteroven)
(GotoLocation countertop)"
train/pick_and_place_simple-TomatoSliced-None-SideTable-3/trial_T20190908_091658_623792,to put a cooled plus sliced tomato on the table to the right of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation knife)
(PickupObject knife)
(GotoLocation sidetable)
(PutObject knife sidetable)
(GotoLocation fridge)
(PickupObject tomato)
(GotoLocation sidetable)
(PutObject tomato sidetable)
(PickupObject knife)
(SliceObject tomato)","(GotoLocation refrigerator)
(PickupObject tomato)
(SliceObject tomato)
(GotoLocation refrigerator)
(PutObject tomato fridge)
(GotoLocation kitchen cooler)
(CoolObject tomato)
(GotoLocation countertop)
(PickupObject tomato)
(GotoLocation table)
(PutObject tomato table)"
