problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal
train/pick_heat_then_place_in_recep-Mug-None-SideTable-3/trial_T20190908_231853_151753,place a hot cup of coffee near the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n        (exists (?r - receptacle)\n            (and \n                (receptacleType ?r MicrowaveType) \n                (isHot ?o) \n                (receptacleAtLocation ?r ?l) \n                (objectAtLocation ?o ?l) \n            )\n    )))\n\n<END>'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(exists (?l - location)
(and 
		(receptacleType ?r MicrowaveType)
		(isHot ?o)
		(receptacleAtLocation ?r ?l)
		(objectAtLocation ?o ?l)))))
)"
train/pick_heat_then_place_in_recep-AppleSliced-None-DiningTable-21/trial_T20190919_014912_467631,place a warm apple near the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n        (exists (?r - receptacle)\n            (and \n                (objectType ?o AppleType) \n                (id ?o apple7)\n                (isHot ?o)\n                (receptacleType ?r MicrowaveType)\n                (receptacleAtLocation ?r ?l)\n                (isCloseTo ?o ?l)\n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(exists (?l - location)
(and 
		(objectType ?o AppleType)
		(isHot ?o)
		(receptacleType ?r MicrowaveType)
		(receptacleAtLocation ?r ?l)))))
)"
train/pick_clean_then_place_in_recep-SoapBar-None-Cabinet-403/trial_T20190906_161856_202281,put a washed bar of soap in a cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o SoapBarType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SoapBarType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o SoapBarType)
		(receptacleType ?r CabinetType)
		(inReceptacle ?o ?r))))
)"
train/pick_cool_then_place_in_recep-Tomato-None-Microwave-17/trial_T20190908_073132_917743,put chilled tomato in the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(receptacleType ?r MicrowaveType)
		(inReceptacle ?o ?r))))
)"
train/pick_cool_then_place_in_recep-PotatoSliced-None-Microwave-5/trial_T20190907_122718_864040,put a cooled potato slice inside of the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotatoType)
		(receptacleType ?r MicrowaveType)
		(inReceptacle ?o ?r))))
)"
train/pick_clean_then_place_in_recep-SoapBar-None-Cabinet-408/trial_T20190908_032540_685424,put a wet bar of soap in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o SoapBarType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SoapBarType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o SoapBarType)
		(receptacleType ?r CabinetType)
		(inReceptacle ?o ?r))))
)"
train/pick_heat_then_place_in_recep-Tomato-None-DiningTable-16/trial_T20190907_201040_216331,put the cooked tomato on the round table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r) \n                (isHot ?o) \n                (isSliced ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(isHot ?o)
		(isSliced ?o))))
)"
train/pick_heat_then_place_in_recep-TomatoSliced-None-Fridge-5/trial_T20190908_061553_146524,put the cooked tomato slice in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)"
train/pick_clean_then_place_in_recep-SoapBar-None-Drawer-423/trial_T20190906_202403_601985,put a clean bar of soap into the cabinet drawer.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o SoapBarType) 
                (receptacleType ?r DrawerType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SoapBarType) \n                (isClean ?o) \n                (receptacleType ?r DrawerType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o SoapBarType)
		(isClean ?o)
		(receptacleType ?r DrawerType)
		(inReceptacle ?o ?r))))
)"
train/pick_cool_then_place_in_recep-Tomato-None-Microwave-17/trial_T20190912_065518_499928,chill and microwave a tomato.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (isCool ?o) \n                (isHot ?o) \n            )\n    ))\n'],"(:goal
	(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(isCool ?o)
		(isHot ?o)))
)"
train/pick_cool_then_place_in_recep-AppleSliced-None-Microwave-7/trial_T20190912_053132_463243,to cool a piece of apple and place it in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",[' \n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n            (and (objectType ?o AppleType) (isCool ?o) \n        ) ) )\n'],"(:goal
	(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(isCool ?o)))
)"
train/pick_cool_then_place_in_recep-Egg-None-SideTable-21/trial_T20190907_044013_708280,refrigerate an egg from a table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (and \n            (receptacleType ?r FridgeType)\n            (exists (?o - object)\n                (and \n                    (objectType ?o EggType) \n                    (inReceptacle ?o ?r) \n                )\n        )))\n    )\n'],"(:goal
	(exists (?r - receptacle)
(and 
		(receptacleType ?r FridgeType)))
)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-SinkBasin-1/trial_T20190909_120657_683509,place a heated potato slice in a sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (heatable ?o)\n                (isHot ?o)\n                (objectType ?o PotatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(heatable ?o)
		(isHot ?o)
		(objectType ?o PotatoType)
		(receptacleType ?r SinkBasinType)
		(inReceptacle ?o ?r))))
)"
train/look_at_obj_in_light-BasketBall-None-DeskLamp-301/trial_T20190907_025246_085192,examine a basketball by the light of a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o BasketBallType)
                (holds ?a ?o)
            )
    ))))))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n        (exists (?r - receptacle)\n            (and \n                (objectType ?o BasketBallType) \n                (receptacleType ?r FloorLampType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o BasketBallType)
		(receptacleType ?r FloorLampType)
		(inReceptacle ?o ?r))))
)"
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-217/trial_T20190908_001701_138210,carry the remote while turning on a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o RemoteControlType)
                (holds ?a ?o)
            )
    ))))))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n        (and \n            (holds ?agent1 ?o)\n            (objectType ?o RemoteControlType) \n        )\n    ))\n'],"(:goal
	(exists (?o - object)
(exists (?agent1 - agent)
(and 
		(holds ?agent1 ?o)
		(objectType ?o RemoteControlType))))
)"
train/pick_and_place_simple-AppleSliced-None-Microwave-14/trial_T20190908_171220_804585,use a butter knife to slice up an apple that is in the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))",[' \n\n;; PDDL Goal: \n(:goal\n        (and\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r) \n            ))\n        (exists (?o - object) \n            (and \n                (objectType ?o ButterKnifeType)\n                (isSliced ?o AppleType)\n            ))\n    ))\n    )\n'],"(:goal
	(and 
		)
)"
train/pick_cool_then_place_in_recep-Cup-None-SinkBasin-12/trial_T20190906_180338_338989,put a chilled glass in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CupType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o GlassbottleType) \n                (receptacleType ?r SinkType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o GlassbottleType)
		(receptacleType ?r SinkType)
		(inReceptacle ?o ?r))))
)"
train/pick_heat_then_place_in_recep-Apple-None-Fridge-14/trial_T20190907_085309_386416,place a warmed apple in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)"
train/look_at_obj_in_light-CreditCard-None-FloorLamp-221/trial_T20190909_032534_513559,find your credit card and turn on the den lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o CreditCardType)
                (holds ?a ?o)
            )
    ))))))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n        (and \n            (isOn ?o)\n            (objectType ?o DeskLampType) \n        )))\n'],"(:goal
	(exists (?o - object)
(and 
		(isOn ?o)
		(objectType ?o DeskLampType)))
)"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220047_928975,slice lettuce on the table with the knife.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))",['\nput slices lettuce in a bowl on the countertop.\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (receptacleType ?r CounterTopType)\n                (isReceptacleObject ?o Bowl)\n                (inReceptacle ?o ?r)\n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(receptacleType ?r CounterTopType)
		(inReceptacle ?o ?r))))
)"
train/look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,examine an alarm clock by the light of a desk lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o AlarmClockType)
                (holds ?a ?o)
            )
    ))))))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AlarmClockType) \n                (receptacleType ?r DeskLampType)\n                (inReceptacleObject ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?r - object)
(exists (?o - object)
(and 
		(objectType ?o AlarmClockType)
		(receptacleType ?r DeskLampType)
		(inReceptacleObject ?o ?r)))))
)"
train/look_at_obj_in_light-Box-None-DeskLamp-316/trial_T20190909_012406_369460,carry a box while turning on a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o BoxType)
                (holds ?a ?o)
            )
    ))))))",['\n\n;; PDDL Goal: \n(:goal\n        (and (holds agent1 Box) (isOn DeskLamp))\n    )\n'],"(:goal
	(and 
		(holds agent1 Box)
		(isOn DeskLamp))
)"
train/pick_and_place_simple-TomatoSliced-None-SinkBasin-5/trial_T20190907_233429_191138,cut the stalk off of the tomato on the right.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and\n                (receptacleType ?r DrawerType) \n                (isReceptacleObject ?r) \n                (objectType ?o KnifeType) \n                (inReceptacle ?o ?r) \n            )\n            (exists (?cut - object)\n                (and \n                    (objectType ?cut TomatoType)\n                    (isSliced ?cut)\n            )\n    ))\n    ))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?r - object)
(exists (?o - object)
(and 
		(receptacleType ?r DrawerType)
		(isReceptacleObject ?r)
		(objectType ?o KnifeType)
		(inReceptacle ?o ?r)))))
)"
train/pick_heat_then_place_in_recep-Cup-None-Cabinet-3/trial_T20190908_233045_285903,place the microwaved green cup inside of the cabinet beneath the sink to the right.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CupType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CupType) \n                (objectType ?o GreenCupType) \n                (isCool ?o) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o CupType)
		(objectType ?o GreenCupType)
		(isCool ?o)
		(receptacleType ?r CabinetType)
		(inReceptacle ?o ?r))))
)"
